variant,n_seeds,meta_loss_mean,meta_loss_std,val_accuracy_mean,val_accuracy_std,gradient_norms_mean,gradient_norms_std
zero,2,0.6928728967905045,0.0037977447112401697,0.59375,0.02083333333333337,0.10742373643049313,0.02954358107770342
uniform,2,0.7013734264506234,0.006836041808128357,0.59375,0.02083333333333337,0.09644555613939798,0.042567889599706844
gaussian,2,0.6887432634830475,0.00030663609504699707,0.5989583333333333,0.036458333333333315,0.20531902662137272,0.05841675229971752
qmaml_paper,2,0.308253788906667,0.002518810538782029,0.7760416666666667,0.005208333333333315,1.452187666922193,0.17420075553361392
